population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life expectancy,Global,Female,25-29 years,Years,2015,54.299193602344836,54.421509166616275,54.18117989409532
All Population,Life expectancy,Global,Both,25-29 years,Years,2015,51.93000242279525,52.01301371545129,51.84329213521768
All Population,Life expectancy,Global,Male,25-29 years,Years,2020,49.40077385072061,49.46320543924525,49.33908357720945
All Population,Life expectancy,Global,Female,25-29 years,Years,2020,54.27611731310117,54.33375346530922,54.21718519602289
All Population,Life expectancy,Global,Both,25-29 years,Years,2020,51.783344941375745,51.828429485966836,51.74103979593787
All Population,Life expectancy,Global,Male,25-29 years,Years,2023,50.514693175202815,50.83783221020164,50.18985231761913
All Population,Life expectancy,Global,Female,25-29 years,Years,2023,54.90518649174404,55.20888582761885,54.60150392839568
All Population,Life expectancy,Global,Both,25-29 years,Years,2023,52.68410119656543,52.90537701769806,52.458741955444395
All Population,Life expectancy,Global,Male,30-34 years,Years,1950,35.51330555396638,35.82298522126234,35.17611213010782
All Population,Life expectancy,Global,Female,30-34 years,Years,1950,39.18713797302672,39.50408074489439,38.8748578275905
All Population,Life expectancy,Global,Both,30-34 years,Years,1950,37.28819918040114,37.51278503822077,37.063586427494045
All Population,Life expectancy,Global,Male,30-34 years,Years,1955,36.57944906124201,36.81338980682072,36.348460110149134
All Population,Life expectancy,Global,Female,30-34 years,Years,1955,40.419786671020454,40.630050931138456,40.21634802700092
All Population,Life expectancy,Global,Both,30-34 years,Years,1955,38.46007564144594,38.6248132866837,38.291614639206905
All Population,Life expectancy,Global,Male,30-34 years,Years,1960,35.50145373154691,36.11195392693592,34.64485450890943
All Population,Life expectancy,Global,Female,30-34 years,Years,1960,39.40119673391779,40.22831674150716,38.08081814098429
All Population,Life expectancy,Global,Both,30-34 years,Years,1960,37.418389549267495,38.09910785828213,36.341191832626016
All Population,Life expectancy,Global,Male,30-34 years,Years,1965,37.56458484187407,37.767097630846415,37.34469871674857
All Population,Life expectancy,Global,Female,30-34 years,Years,1965,41.77874873256819,41.97795989874274,41.56272058788736
All Population,Life expectancy,Global,Both,30-34 years,Years,1965,39.651018751415926,39.80910439729854,39.50008927504704
All Population,Life expectancy,Global,Male,30-34 years,Years,1970,37.923640305091226,38.127884874979465,37.722234007165035
All Population,Life expectancy,Global,Female,30-34 years,Years,1970,42.25766543679253,42.45960611787509,42.05893737565606
All Population,Life expectancy,Global,Both,30-34 years,Years,1970,40.06707161254637,40.208358816572364,39.919131255142155
All Population,Life expectancy,Global,Male,30-34 years,Years,1975,38.557419572320256,38.73530213089296,38.35536341347176
All Population,Life expectancy,Global,Female,30-34 years,Years,1975,43.15338624481509,43.343320612170594,42.9649163142095
All Population,Life expectancy,Global,Both,30-34 years,Years,1975,40.82152188247857,40.95619315783865,40.690921877180514
All Population,Life expectancy,Global,Male,30-34 years,Years,1980,39.396534592890234,39.57826764845431,39.21456863995858
All Population,Life expectancy,Global,Female,30-34 years,Years,1980,44.116112274661624,44.30136643313664,43.9276090281052
All Population,Life expectancy,Global,Both,30-34 years,Years,1980,41.719329548601834,41.84820768646973,41.58986341127656
All Population,Life expectancy,Global,Male,30-34 years,Years,1985,40.30722396577733,40.50437300327406,40.12089828533502
All Population,Life expectancy,Global,Female,30-34 years,Years,1985,45.122132302945595,45.30117762244406,44.91697590321961
All Population,Life expectancy,Global,Both,30-34 years,Years,1985,42.67200312445592,42.80832757350761,42.533766178141775
All Population,Life expectancy,Global,Male,30-34 years,Years,1990,40.78925397129245,40.98207184460646,40.587322656795656
All Population,Life expectancy,Global,Female,30-34 years,Years,1990,45.7696619698274,45.94209666689757,45.592952296070365
All Population,Life expectancy,Global,Both,30-34 years,Years,1990,43.21954199885451,43.349522804299376,43.06756459053548
All Population,Life expectancy,Global,Male,30-34 years,Years,1995,41.04441044121684,41.22232828668923,40.84546287966226
All Population,Life expectancy,Global,Female,30-34 years,Years,1995,46.20139450284885,46.371413323335894,46.02927723261851
All Population,Life expectancy,Global,Both,30-34 years,Years,1995,43.548321830853425,43.689624758568115,43.415004558428315
All Population,Life expectancy,Global,Male,30-34 years,Years,2000,41.76837763179486,41.90635327125309,41.61478678164769
All Population,Life expectancy,Global,Female,30-34 years,Years,2000,46.7937490720028,46.92003151078317,46.660153956983265
All Population,Life expectancy,Global,Both,30-34 years,Years,2000,44.21622438884143,44.31824340574498,44.11202372442387
All Population,Life expectancy,Global,Male,30-34 years,Years,2005,42.73723667743922,42.89269160758309,42.57368405708701
All Population,Life expectancy,Global,Female,30-34 years,Years,2005,47.74211833344055,47.88584520542015,47.601099471235024
All Population,Life expectancy,Global,Both,30-34 years,Years,2005,45.18176295301467,45.29372462983057,45.06582535841344
All Population,Life expectancy,Global,Male,30-34 years,Years,2010,43.92615872125686,44.07255628237291,43.78730447161765
All Population,Life expectancy,Global,Female,30-34 years,Years,2010,48.86649412186673,48.98772209565125,48.73872632723324
All Population,Life expectancy,Global,Both,30-34 years,Years,2010,46.34803126318428,46.442296970766435,46.2580754246267
All Population,Life expectancy,Global,Male,30-34 years,Years,2015,45.04470248777335,45.175245383557076,44.921188443276115
All Population,Life expectancy,Global,Female,30-34 years,Years,2015,49.611458456040175,49.73042092142335,49.49138083365334
All Population,Life expectancy,Global,Both,30-34 years,Years,2015,47.29795015733062,47.38075025065785,47.21335494779027
All Population,Life expectancy,Global,Male,30-34 years,Years,2020,44.80754066509208,44.87077972387027,44.74587448245135
All Population,Life expectancy,Global,Female,30-34 years,Years,2020,49.593623711081996,49.65191775423519,49.53577518552078
All Population,Life expectancy,Global,Both,30-34 years,Years,2020,47.148687883529504,47.19315740714332,47.10678176132736
All Population,Life expectancy,Global,Male,30-34 years,Years,2023,45.92668144786041,46.24907279633008,45.5943286990292
All Population,Life expectancy,Global,Female,30-34 years,Years,2023,50.229816808520916,50.53384497510722,49.92784525059822
All Population,Life expectancy,Global,Both,30-34 years,Years,2023,48.05544097619968,48.27099303263822,47.828097200779204
All Population,Life expectancy,Global,Male,35-39 years,Years,1950,31.253656274708774,31.567549706047036,30.917171969219222
All Population,Life expectancy,Global,Female,35-39 years,Years,1950,34.978680607517965,35.282131650778204,34.66716898791104
All Population,Life expectancy,Global,Both,35-39 years,Years,1950,33.053502295938316,33.26947648970194,32.821797857839016
All Population,Life expectancy,Global,Male,35-39 years,Years,1955,32.23987398204614,32.46705226851335,32.00641465617348
All Population,Life expectancy,Global,Female,35-39 years,Years,1955,36.11801767272428,36.32449002575421,35.91683349780104
All Population,Life expectancy,Global,Both,35-39 years,Years,1955,34.13941182831076,34.30207397496407,33.96834587274247
All Population,Life expectancy,Global,Male,35-39 years,Years,1960,31.221423539588333,31.82656961354445,30.359800900365503
All Population,Life expectancy,Global,Female,35-39 years,Years,1960,35.12169835619673,35.94308682909092,33.78004875502869
All Population,Life expectancy,Global,Both,35-39 years,Years,1960,33.14052949246903,33.83010427994309,32.07915568364924
All Population,Life expectancy,Global,Male,35-39 years,Years,1965,33.19894139373797,33.40257237835671,32.97260584780504
All Population,Life expectancy,Global,Female,35-39 years,Years,1965,37.44248370196706,37.64639742267071,37.223034735404994
All Population,Life expectancy,Global,Both,35-39 years,Years,1965,35.301394221465415,35.45247257487288,35.15122326414753
All Population,Life expectancy,Global,Male,35-39 years,Years,1970,33.55646725005102,33.76172916593757,33.35436039978894
All Population,Life expectancy,Global,Female,35-39 years,Years,1970,37.900541742010155,38.10383508802471,37.701246285699
All Population,Life expectancy,Global,Both,35-39 years,Years,1970,35.70684885560045,35.84791040969734,35.555914443277665
All Population,Life expectancy,Global,Male,35-39 years,Years,1975,34.15846199437615,34.33703727250899,33.95703962509458
All Population,Life expectancy,Global,Female,35-39 years,Years,1975,38.73109182629855,38.91614494448273,38.54801065602117
All Population,Life expectancy,Global,Both,35-39 years,Years,1975,36.413838369755595,36.546875165240884,36.28269013620508
All Population,Life expectancy,Global,Male,35-39 years,Years,1980,34.965375638030785,35.14564478344014,34.786920416209774
All Population,Life expectancy,Global,Female,35-39 years,Years,1980,39.62069566373806,39.804916658871484,39.43721296385652
All Population,Life expectancy,Global,Both,35-39 years,Years,1980,37.26035049288242,37.388830973217324,37.127525539345264
All Population,Life expectancy,Global,Male,35-39 years,Years,1985,35.857942870641956,36.053944063852384,35.6664602808286
All Population,Life expectancy,Global,Female,35-39 years,Years,1985,40.58941062912179,40.767492856647344,40.38736810313415
All Population,Life expectancy,Global,Both,35-39 years,Years,1985,38.18568757787732,38.32036801855981,38.04904288629531
All Population,Life expectancy,Global,Male,35-39 years,Years,1990,36.35944067875326,36.55006526886112,36.16186204802731
All Population,Life expectancy,Global,Female,35-39 years,Years,1990,41.223409072871135,41.39270581491131,41.05356493223714
All Population,Life expectancy,Global,Both,35-39 years,Years,1990,38.73738534469316,38.87230112637104,38.58404253258661
All Population,Life expectancy,Global,Male,35-39 years,Years,1995,36.65546858927246,36.83062178086087,36.45623809777523
All Population,Life expectancy,Global,Female,35-39 years,Years,1995,41.67404302074802,41.84644142976184,41.497494256466005
All Population,Life expectancy,Global,Both,35-39 years,Years,1995,39.09660100209857,39.23621327069337,38.963249915574096
All Population,Life expectancy,Global,Male,35-39 years,Years,2000,37.380461878354375,37.52279630467053,37.2283416848266
All Population,Life expectancy,Global,Female,35-39 years,Years,2000,42.29558890088347,42.42187188708307,42.16026794886292
All Population,Life expectancy,Global,Both,35-39 years,Years,2000,39.77824695178198,39.87756689054097,39.67265601888025
All Population,Life expectancy,Global,Male,35-39 years,Years,2005,38.32924359083453,38.48728424962765,38.162115206526956
All Population,Life expectancy,Global,Female,35-39 years,Years,2005,43.2255535099223,43.36979702323504,43.088776366743616
All Population,Life expectancy,Global,Both,35-39 years,Years,2005,40.724187163254776,40.83602246511171,40.608242166558
All Population,Life expectancy,Global,Male,35-39 years,Years,2010,39.47408584739375,39.62122266448383,39.33238664896373
All Population,Life expectancy,Global,Female,35-39 years,Years,2010,44.289491421912956,44.410587820454744,44.159589411337606
All Population,Life expectancy,Global,Both,35-39 years,Years,2010,41.838478953140914,41.93162900957185,41.74577395248236
All Population,Life expectancy,Global,Male,35-39 years,Years,2015,40.53268653363573,40.654919239856056,40.40611554568685
All Population,Life expectancy,Global,Female,35-39 years,Years,2015,44.977394549255074,45.09619400957589,44.856475017323035
All Population,Life expectancy,Global,Both,35-39 years,Years,2015,42.72932565083124,42.81176350650494,42.64553969717207
All Population,Life expectancy,Global,Male,35-39 years,Years,2020,40.2676086693319,40.33376908483815,40.20688311011037
All Population,Life expectancy,Global,Female,35-39 years,Years,2020,44.94971029951649,45.00809801838702,44.891702143163336
All Population,Life expectancy,Global,Both,35-39 years,Years,2020,42.56100493432068,42.60667041995921,42.52020078865613
All Population,Life expectancy,Global,Male,35-39 years,Years,2023,41.38668062941305,41.71422203594964,41.04439827444168
All Population,Life expectancy,Global,Female,35-39 years,Years,2023,45.5961273980157,45.90254662801614,45.28617115256816
All Population,Life expectancy,Global,Both,35-39 years,Years,2023,43.47238549813266,43.692187833146775,43.255952387094766
All Population,Life expectancy,Global,Male,40-44 years,Years,1950,27.040398852089336,27.365050275264128,26.703434545791467
All Population,Life expectancy,Global,Female,40-44 years,Years,1950,30.74582554086895,31.067783195728122,30.428415635284257
All Population,Life expectancy,Global,Both,40-44 years,Years,1950,28.83206944724792,29.058695973670392,28.60265580826933
All Population,Life expectancy,Global,Male,40-44 years,Years,1955,27.97500354777918,28.188194952098886,27.746339976707745
All Population,Life expectancy,Global,Female,40-44 years,Years,1955,31.83810014020018,32.03821929453641,31.636016835375994
All Population,Life expectancy,Global,Both,40-44 years,Years,1955,29.86913409513107,30.029478137154275,29.702059856071823
All Population,Life expectancy,Global,Male,40-44 years,Years,1960,27.008113114604797,27.60532131311948,26.154235063982952
All Population,Life expectancy,Global,Female,40-44 years,Years,1960,30.852323495982787,31.667472310389027,29.51025843553566
All Population,Life expectancy,Global,Both,40-44 years,Years,1960,28.902731941792272,29.598966341599144,27.843038603061764
All Population,Life expectancy,Global,Male,40-44 years,Years,1965,28.898007312065438,29.09668740600929,28.67261763623792
All Population,Life expectancy,Global,Female,40-44 years,Years,1965,33.09571088884934,33.29904297356467,32.87736209384189
All Population,Life expectancy,Global,Both,40-44 years,Years,1965,30.98235000141984,31.135038939490247,30.83023421596633
All Population,Life expectancy,Global,Male,40-44 years,Years,1970,29.25210794485546,29.458012300813113,29.04539839074904
All Population,Life expectancy,Global,Female,40-44 years,Years,1970,33.54486052768365,33.74898677956594,33.34728678105028
All Population,Life expectancy,Global,Both,40-44 years,Years,1970,31.38250313732241,31.52695959406396,31.23290499120278
All Population,Life expectancy,Global,Male,40-44 years,Years,1975,29.837360719084483,30.016194191035172,29.635439213394157
All Population,Life expectancy,Global,Female,40-44 years,Years,1975,34.31834577300532,34.512489754411284,34.13097257340658
All Population,Life expectancy,Global,Both,40-44 years,Years,1975,32.05392139317491,32.18065022582896,31.920143795334077
All Population,Life expectancy,Global,Male,40-44 years,Years,1980,30.607289601140764,30.789245051055158,30.424515024224522
All Population,Life expectancy,Global,Female,40-44 years,Years,1980,35.17189972448718,35.35292603515507,34.983008751354056
All Population,Life expectancy,Global,Both,40-44 years,Years,1980,32.86342104528937,32.9913309103518,32.730066911027244
All Population,Life expectancy,Global,Male,40-44 years,Years,1985,31.463051145097726,31.656727062997334,31.272123984839343
All Population,Life expectancy,Global,Female,40-44 years,Years,1985,36.07640098947466,36.249784986863794,35.882460419917756
All Population,Life expectancy,Global,Both,40-44 years,Years,1985,33.73904391687546,33.86987463428916,33.60370809462778
All Population,Life expectancy,Global,Male,40-44 years,Years,1990,31.96843485762019,32.15528091168193,31.769400916955174
All Population,Life expectancy,Global,Female,40-44 years,Years,1990,36.68130192878538,36.85573752278762,36.50518160138677
All Population,Life expectancy,Global,Both,40-44 years,Years,1990,34.279144460304195,34.40952795154683,34.133780200955485
All Population,Life expectancy,Global,Male,40-44 years,Years,1995,32.31885765099216,32.486214222961095,32.1242409765291
All Population,Life expectancy,Global,Female,40-44 years,Years,1995,37.14334984036091,37.31635996239726,36.96528287227784
All Population,Life expectancy,Global,Both,40-44 years,Years,1995,34.67324343727523,34.81034463453661,34.538082572052495
All Population,Life expectancy,Global,Male,40-44 years,Years,2000,33.05142242385504,33.19439426852098,32.90057910465024
All Population,Life expectancy,Global,Female,40-44 years,Years,2000,37.78046443310627,37.90875314893703,37.6437783372445
All Population,Life expectancy,Global,Both,40-44 years,Years,2000,35.36510891136199,35.46585467633305,35.26038805008217
All Population,Life expectancy,Global,Male,40-44 years,Years,2005,33.96795933286392,34.12984552017258,33.8054191911814
All Population,Life expectancy,Global,Female,40-44 years,Years,2005,38.689295672765915,38.8338989159115,38.55016476575614
All Population,Life expectancy,Global,Both,40-44 years,Years,2005,36.28337804192827,36.39349591494272,36.16327314319497
All Population,Life expectancy,Global,Male,40-44 years,Years,2010,35.05578799668987,35.19984209096208,34.91287364178096
All Population,Life expectancy,Global,Female,40-44 years,Years,2010,39.69653843133375,39.818062061555544,39.5723277574834
All Population,Life expectancy,Global,Both,40-44 years,Years,2010,37.34042085641455,37.434936691472586,37.24863150163133
All Population,Life expectancy,Global,Male,40-44 years,Years,2015,36.07056423364696,36.19138798237674,35.94550487155796
All Population,Life expectancy,Global,Female,40-44 years,Years,2015,40.36127677661297,40.480812366972195,40.24333133338813
All Population,Life expectancy,Global,Both,40-44 years,Years,2015,38.19647195775334,38.28156951378322,38.114082389054936
All Population,Life expectancy,Global,Male,40-44 years,Years,2020,35.79935135266644,35.86276855873699,35.7383673604265
All Population,Life expectancy,Global,Female,40-44 years,Years,2020,40.34078526503282,40.39538845181261,40.28538504708426
All Population,Life expectancy,Global,Both,40-44 years,Years,2020,38.02853712508735,38.07285467253182,37.986705150913465
All Population,Life expectancy,Global,Male,40-44 years,Years,2023,36.89136897707551,37.22241021527041,36.550388289118345
All Population,Life expectancy,Global,Female,40-44 years,Years,2023,40.97215697209117,41.27320261410069,40.66727932857265
All Population,Life expectancy,Global,Both,40-44 years,Years,2023,38.91805764806887,39.14069976009583,38.68908919564015
All Population,Life expectancy,Global,Male,45-49 years,Years,1950,22.98746938899938,23.30717419963105,22.64139679921192
All Population,Life expectancy,Global,Female,45-49 years,Years,1950,26.558118743780042,26.875600977822323,26.24403917863561
All Population,Life expectancy,Global,Both,45-49 years,Years,1950,24.718432817419576,24.94021350292373,24.483409642020387
All Population,Life expectancy,Global,Male,45-49 years,Years,1955,23.86446737088553,24.084673404182166,23.63730092483826
All Population,Life expectancy,Global,Female,45-49 years,Years,1955,27.590333095165132,27.79543775379562,27.388158635567457
All Population,Life expectancy,Global,Both,45-49 years,Years,1955,25.696892410320586,25.853531729549122,25.532739285714097
All Population,Life expectancy,Global,Male,45-49 years,Years,1960,22.98489922159465,23.578936031548075,22.133273247600204
All Population,Life expectancy,Global,Female,45-49 years,Years,1960,26.660044626002737,27.48889331736684,25.30413121027972
All Population,Life expectancy,Global,Both,45-49 years,Years,1960,24.804194699091205,25.483640184444948,23.728527997428564
All Population,Life expectancy,Global,Male,45-49 years,Years,1965,24.765788529974028,24.96162001278288,24.55026664534013
All Population,Life expectancy,Global,Female,45-49 years,Years,1965,28.819312802916976,29.015195924923344,28.602877086253628
All Population,Life expectancy,Global,Both,45-49 years,Years,1965,26.78634189955926,26.934735128807127,26.632109418515693
All Population,Life expectancy,Global,Male,45-49 years,Years,1970,25.12009533780029,25.32661264621182,24.90738929979434
All Population,Life expectancy,Global,Female,45-49 years,Years,1970,29.249377085293983,29.456024729446384,29.0415227712381
All Population,Life expectancy,Global,Both,45-49 years,Years,1970,27.180673681084468,27.32579563733647,27.030790943459067
All Population,Life expectancy,Global,Male,45-49 years,Years,1975,25.685155482956187,25.862102360429205,25.482644483802986
All Population,Life expectancy,Global,Female,45-49 years,Years,1975,29.99199345931997,30.182176218121878,29.80429464500604
All Population,Life expectancy,Global,Both,45-49 years,Years,1975,27.828177387743054,27.95823189199245,27.69439219521236
All Population,Life expectancy,Global,Male,45-49 years,Years,1980,26.42734982151712,26.614003401376074,26.24308033363975
All Population,Life expectancy,Global,Female,45-49 years,Years,1980,30.81283948276534,30.99322022070395,30.62215861348991
All Population,Life expectancy,Global,Both,45-49 years,Years,1980,28.606796490265225,28.738162180422577,28.472353999655883
All Population,Life expectancy,Global,Male,45-49 years,Years,1985,27.222408325527734,27.415059938757143,27.030441152163284
All Population,Life expectancy,Global,Female,45-49 years,Years,1985,31.672314405030846,31.84078330450461,31.473639970656215
All Population,Life expectancy,Global,Both,45-49 years,Years,1985,29.428153561413577,29.558775201349075,29.29125599375543
All Population,Life expectancy,Global,Male,45-49 years,Years,1990,27.703507709358686,27.895014408183165,27.50281163662039
All Population,Life expectancy,Global,Female,45-49 years,Years,1990,32.23064871737177,32.404819890412995,32.05967004992108
All Population,Life expectancy,Global,Both,45-49 years,Years,1990,29.933503842382436,30.065496634608078,29.789323838007103
All Population,Life expectancy,Global,Male,45-49 years,Years,1995,28.11024579582656,28.28407291404325,27.92283783822489
All Population,Life expectancy,Global,Female,45-49 years,Years,1995,32.69135055349753,32.862799475916404,32.514803180414596
All Population,Life expectancy,Global,Both,45-49 years,Years,1995,30.357330884763517,30.49109783493831,30.223478274496753
All Population,Life expectancy,Global,Male,45-49 years,Years,2000,28.85413529195801,28.99577550437376,28.70248598442433
All Population,Life expectancy,Global,Female,45-49 years,Years,2000,33.32530995867461,33.45732939384732,33.18940301951985
All Population,Life expectancy,Global,Both,45-49 years,Years,2000,31.05333443786176,31.15260137481855,30.952499109813303
All Population,Life expectancy,Global,Male,45-49 years,Years,2005,29.74083559729308,29.899894188757507,29.57516853993973
All Population,Life expectancy,Global,Female,45-49 years,Years,2005,34.20567215771044,34.34903711471333,34.067016716046446
All Population,Life expectancy,Global,Both,45-49 years,Years,2005,31.94078369188101,32.050371182276294,31.822429930801437
All Population,Life expectancy,Global,Male,45-49 years,Years,2010,30.730954849087304,30.870119771616682,30.590271799112998
All Population,Life expectancy,Global,Female,45-49 years,Years,2010,35.147894222845544,35.265425060891836,35.02592981661267
All Population,Life expectancy,Global,Both,45-49 years,Years,2010,32.91414738234344,33.00448655360256,32.819979921787784
All Population,Life expectancy,Global,Male,45-49 years,Years,2015,31.69636696629794,31.814049531693986,31.57344853596574
All Population,Life expectancy,Global,Female,45-49 years,Years,2015,35.797551848334614,35.916169555562156,35.67987678917051
All Population,Life expectancy,Global,Both,45-49 years,Years,2015,33.73601627248332,33.819309407732035,33.65658403823419
All Population,Life expectancy,Global,Male,45-49 years,Years,2020,31.46414361281987,31.528034308908214,31.40669797657197
All Population,Life expectancy,Global,Female,45-49 years,Years,2020,35.81319902657556,35.868318278704976,35.759747345992274
All Population,Life expectancy,Global,Both,45-49 years,Years,2020,33.60635771300077,33.64882561422523,33.56583237324235
All Population,Life expectancy,Global,Male,45-49 years,Years,2023,32.5234806780241,32.85311935397923,32.19260359238277
All Population,Life expectancy,Global,Female,45-49 years,Years,2023,36.434194401936175,36.73793302223541,36.12847969326156
All Population,Life expectancy,Global,Both,45-49 years,Years,2023,34.47271116425636,34.70253403702787,34.24631380155566
All Population,Life expectancy,Global,Male,50-54 years,Years,1950,19.189318375856267,19.493265879627497,18.836074953871577
All Population,Life expectancy,Global,Female,50-54 years,Years,1950,22.48062461419745,22.797261665365518,22.172668445540168
All Population,Life expectancy,Global,Both,50-54 years,Years,1950,20.794897594175755,21.01392988852866,20.55328903233916
All Population,Life expectancy,Global,Male,50-54 years,Years,1955,19.997267015790467,20.19955656110323,19.777735636779695
All Population,Life expectancy,Global,Female,50-54 years,Years,1955,23.450760483983817,23.66131233913977,23.245267886728715
All Population,Life expectancy,Global,Both,50-54 years,Years,1955,21.707171723083242,21.864935270362793,21.54099064279619
All Population,Life expectancy,Global,Male,50-54 years,Years,1960,19.159751698880044,19.75151178041573,18.29064600016114
All Population,Life expectancy,Global,Female,50-54 years,Years,1960,22.533886593613396,23.368120688584835,21.153366235911903
All Population,Life expectancy,Global,Both,50-54 years,Years,1960,20.84329299239823,21.535483631215794,19.750779985808375
All Population,Life expectancy,Global,Male,50-54 years,Years,1965,20.875129089818994,21.06660584908975,20.665425618070646
All Population,Life expectancy,Global,Female,50-54 years,Years,1965,24.669648953569475,24.867208958559456,24.468975730475343
All Population,Life expectancy,Global,Both,50-54 years,Years,1965,22.78142894677373,22.923346438151043,22.62856450393899
All Population,Life expectancy,Global,Male,50-54 years,Years,1970,21.19978702626706,21.411312384450916,20.99116935195449
All Population,Life expectancy,Global,Female,50-54 years,Years,1970,25.067613230006923,25.269580662903778,24.875809678216843
All Population,Life expectancy,Global,Both,50-54 years,Years,1970,23.144507031527198,23.287265162766886,22.993939078430003
All Population,Life expectancy,Global,Male,50-54 years,Years,1975,21.738556818801413,21.913801358111147,21.534545927666105
All Population,Life expectancy,Global,Female,50-54 years,Years,1975,25.76192965469573,25.95221702878546,25.571977197641722
All Population,Life expectancy,Global,Both,50-54 years,Years,1975,23.760026206711984,23.892078236977902,23.626130908130666
All Population,Life expectancy,Global,Male,50-54 years,Years,1980,22.425984359499967,22.611932618669783,22.242860504652143
All Population,Life expectancy,Global,Female,50-54 years,Years,1980,26.5465436541222,26.731218178923015,26.357966943409046
All Population,Life expectancy,Global,Both,50-54 years,Years,1980,24.493318420264043,24.619044276916824,24.35663357210476
All Population,Life expectancy,Global,Male,50-54 years,Years,1985,23.175381189298008,23.36294334191987,22.985571897422126
All Population,Life expectancy,Global,Female,50-54 years,Years,1985,27.3476640126997,27.514036321669156,27.15439314290831
